0,1,8,87,87.1,87.2,246,260,301,312,470,474,490,508,508.1,508.2,557,596,633,633.1,633.2,633.3,634,634.1,702.1,702.2,702.3,702.4,702.5,702.6,702.7,702.8,702.9,702.1,702.11,702.12,702.13,702.14,702.15,702.16,702.17,702.18,702.19,$<icat1:3>,41,551,600,600.1,600.2,600.3,600.4,600.5,600.6,600.7,600.8,600.9,600.1
am     a,CKEY8215884,181023n                      000 0 eng u,C1645/12,,,Wallace Davenport and Al Grey interviewed by Stan Britt,1982-07,30 min. 01 sec.,a,,,Stan Britt collection,"Stan Britt interviews Wallace Davenport and Al Grey at the Capital Radio Jazz Festival in 1982. The three discuss legends of jazz. Wallace talks about some of his favourite trumpet players including Louis Armstrong, Dizzy Gillespie, Miles Davis, Roy Eldridge and Freddie Hubbard. Davenport and Grey also pay their respects to saxophonist Sonny Stitt who had died earlier in the year of recording.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Davenport, Wallace, 1925-2004 (speaker, male; interviewee)","Grey, Al, 1925-2000 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,eng,"Knebworth Park, Stevenage, Hertfordshire, England, UK","Davenport, Wallace, 1925-2004","Grey, Al, 1925-2000","Stitt, Sonny, 1924-1982","Armstrong, Louis, 1901-1971","Gillespie, Dizzy, 1917-1993","Davis, Miles, 1926-1991","Eldridge, Roy, 1911-1989","Hubbard, Freddie, 1938-2008",,,
am     a,CKEY8215886,181023n                      000 0 eng u,C1645/12,,,Mike [Micheal] Brecker interviewed by Stan Britt (1st interview),1982-07,13 min. 35 sec.,a,,,Stan Britt collection,Stan Britt interviews Micheal Brecker about the development of his band Steps Ahead. Brecker talks about some of the bands members and their process for writing songs and perfoming improvisational pieces.,,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Brecker, Michael, 1949-2007 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"Knebworth Park, Stevenage, Hertfordshire, England, UK","Brecker, Michael, 1949-2007",Steps Ahead,,,,,,,,,
am     a,CKEY8215558,181023n                      000 0 eng u,C1645/13,,,Anita Wardell interviewed by Stan Britt (1st interview),not after 2014,1 hr. 04 min. 52 sec.,a,,,Stan Britt collection,"Anita Wardell talks to Stan Britt about some important influencers on her music career. They both talk in depth about Mark Murphy and the lessons Wardell has learned from his music. Wardell also talks about Charlie ""Bird"" Parker, Sarah Vaughan, and the tragic effects of smoking on many jazz musicians.","No date or location are given for this recording, but based on the topics discussed, it probably took place in the early 1990s.",,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Wardell, Anita, 1961- (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Wardell, Anita, 1961-","Murphy, Mark 1932-2015","Vaughan, Sarah, 1924-1990","Parker, Charlie, 1920-1955",,,,,,,
am     a,CKEY8215583,181023n                      000 0 eng u,C1645/14,,,Guy Barker interviewed by Stan Britt,not after 2014,38 min. 48 sec.,a,,,Stan Britt collection,Guy Barker talks to Stan Britt about his experiences joining the record label Verve and recording an album with his (then new) quintet.,"This recording ends with Stan asking Guy to turn the tape over, yet the interview does not continue on side B. This interview is probably continued on C1645/386","No date or location is given for this recording, however based on the topics mentioned it probably took place in the mid-to-late 1990s.","Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Barker, Guy, 1957- (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Barker, Guy, 1957-",Guy Barker Quintet,,,,,,,,,
am     a,CKEY8215599,181023n                      000 0 eng u,C1645/15,C1645/724,,Mickey Roker interviewed by Stan Britt (4/8/1976),04/08/1976,1 hr. 28 min. 06 sec.,a,,,Stan Britt collection,"Mickey Roker is interviewed by Stan Britt about his influences and collaborators, and what elements contribute to his particular drumming style.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Roker, Mickey, 1932-2017 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"East Acton, London, England, UK","Roker, Mickey, 1932-2017",,,,,,,,,,
am     a,CKEY8215609,181023n                      000 0 eng u,C1645/15,,,Michel Legrand interviewed by Stan Britt,not after 2014,43 min. 12 sec.,a,,,Stan Britt collection,"Stan Britt interviews composer and conductor Michel Legrand about his background in music, his inspirations and how he got into classical music.","At the end of the recording, Stan Britt states he is going to turn the tape over, despite the other side of this tape having a different interview on. This interview might be continued on C1645/670.",,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Legrand, Michel, 1932-2019 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Legrand, Michel, 1932-2019",,,,,,,,,,
am     a,CKEY8216910,181022n                      000 0 eng u,C1645/17,,,Mike Vernon interviewed by Stan Britt,not after 2014,33 min. 08 sec.,a,,,Stan Britt collection,Stan Britt interviews Mike Vernon about working with Jimmy Witherspoon on records including 'Love is a five letter word'.,,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Vernon, Mike, 1944- (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)",,,,,,,,,,,,,,,,,,POP,eng,,"Witherspoon, Jimmy, 1923-1997","Vernon, Mike, 1944-",,,,,,,,,
am     a,CKEY8207610,181023n                      000 0 eng u,C1645/17,C1645/16,,Horace Silver interviewed by Stan Britt (second interview),1974?,1 hr. 28 min. 27 sec.,a,,,Stan Britt collection,"Stan Britt interviews Horace Silver, asking for his opinions on various jazz groups and musicians including Stan Getz, Oscar Peterson, Erroll Garner and Charlie Parker.",This interview is continued on C1645/10,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Silver, Horace, 1928-2014 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)",,,,,,,,,,,,,,,,,,POP,eng,,"Getz, Stan, 1927-1991","Silver, Horace, 1928-2014","Peterson, Oscar, 1925-2007","Kelly, Wynton, 1931-1971","Parker, Charlie, 1920-1955","Garner, Erroll, 1921-1977",,,,,
am     a,CKEY8216497,181023n                      000 0 eng u,C1645/18,,,Ian Carr interviewed by Stan Britt (1st interview),not after 2014,1 hr. 24 min. 26 sec.,a,,,Stan Britt collection,"Ian Carr, talking to Stan Britt, discusses his book ""Music Outside"", and opinions of jazz music in different sectors (education, media etc.)",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Carr, Ian, 1933-2009 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Carr, Ian, 1933-2009",,,,,,,,,,
am     a,CKEY8216566,181023n                      000 0 eng u,C1645/19,,,"Art Pepper interviewed by Stan Britt (2nd interview, part 2)",not after 2014,34 min. 59 sec.,a,,,Stan Britt collection,"Stan Britt interviews Art Pepper, largely about his personal life and influences for his music. Pepper talks about his relationships with ex-wives and his daughter Patricia, who he could no longer see. He is joined by a female speaker, probably his third wife Laurie.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Pepper, Art, 1925-1982 (speaker, male; interviewee)","Pepper, Laurie (speaker, female)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,eng,,"Pepper, Art, 1925-1982","Pepper, Laurie",,,,,,,,,
